Grid,MeanLapTime_sec,AirTemp,TrackTemp,Humidity,Rainfall,Team_Alfa Romeo,Team_Alfa Romeo Racing,Team_AlphaTauri,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Force India,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Racing Point,Team_Red Bull Racing,Team_Renault,Team_Sauber,Team_Toro Rosso,Team_Williams,Team_nan
18.0,,29.330128205128204,42.928205128205136,42.32051282051282,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,,22.73006134969325,33.44601226993865,75.38036809815951,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,,15.77074829931973,27.670068027210885,67.33333333333333,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7.0,,27.43167701863354,31.01180124223602,21.496894409937887,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6.0,,29.844318181818185,36.42215909090909,72.0284090909091,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
8.0,,26.70592105263158,44.34934210526316,38.01973684210526,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5.0,,15.82547770700637,18.18089171974522,93.5248407643312,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9.0,,28.521999999999995,44.664,59.00666666666667,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
14.0,,26.70592105263158,44.34934210526316,38.01973684210526,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2.0,,21.206707317073167,47.579268292682926,31.2109756097561,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13.0,,28.148447204968942,37.47080745341616,61.192546583850934,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,,24.519108280254777,28.4656050955414,59.05477707006369,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,,21.504430379746836,36.10569620253165,54.10822784810126,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,,26.210852713178294,28.610852713178296,53.372093023255815,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20.0,,23.203030303030303,41.633333333333326,46.28787878787879,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
9.0,,17.327358490566038,27.89811320754717,37.700943396226414,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17.0,,26.09189189189189,31.79256756756757,57.79054054054054,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.0,,26.640707964601766,34.60973451327434,50.892920353982305,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,,26.23254901960784,28.973333333333333,87.44705882352942,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.0,,23.176086956521743,45.87934782608695,37.141304347826086,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16.0,,28.575483870967748,34.310322580645156,61.68387096774194,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17.0,,22.189898989898992,30.822222222222223,63.8070707070707,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
19.0,,30.164843750000003,54.46171875,47.734375,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,,15.82547770700637,18.18089171974522,93.5248407643312,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18.0,,25.314399999999996,35.22879999999999,58.6304,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,,28.575483870967748,34.310322580645156,61.68387096774194,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15.0,,23.203030303030303,41.633333333333326,46.28787878787879,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17.0,,29.965161290322584,35.752903225806456,66.45548387096774,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
6.0,,21.473509933774835,30.94105960264901,56.18543046357616,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2.0,,27.73469387755102,43.13877551020408,33.14965986394558,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,,26.70592105263158,44.34934210526316,38.01973684210526,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,,18.0304,23.2608,71.1368,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6.0,,26.23254901960784,28.973333333333333,87.44705882352942,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16.0,,26.692372881355933,52.35254237288136,33.246610169491525,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20.0,,29.330128205128204,42.928205128205136,42.32051282051282,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15.0,,19.32992125984252,27.33700787401575,45.98110236220473,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13.0,,33.1015037593985,49.31127819548872,32.285714285714285,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7.0,,12.899367088607592,17.41898734177215,83.17088607594937,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8.0,,23.176086956521743,45.87934782608695,37.141304347826086,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4.0,,20.762962962962963,41.261111111111106,28.925925925925927,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2.0,,19.392537313432832,38.950746268656715,39.403731343283575,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
14.0,,21.0972972972973,33.04054054054055,51.574774774774774,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7.0,,24.519108280254777,28.4656050955414,59.05477707006369,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16.0,,22.398039215686275,32.05424836601307,52.04575163398693,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,,17.327358490566038,27.89811320754717,37.700943396226414,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6.0,,31.46289308176101,36.93207547169812,73.15723270440252,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
4.0,,27.28860759493671,42.070253164556966,42.31645569620253,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
12.0,,23.010778443113775,46.04910179640718,76.07784431137725,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12.0,,26.640707964601766,34.60973451327434,50.892920353982305,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
11.0,,28.26481481481482,37.17037037037037,50.51574074074074,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
