Season,Race,Driver,Team,Grid,Position,MeanLapTime,AirTemp,TrackTemp,Humidity,Rainfall,NumPitStops,PitStopLaps,PitCompounds,AvgPitStopDuration
2023,Saudi Arabian Grand Prix,VER,Red Bull Racing,15.0,2.0,0 days 00:01:34.926645833,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,GAS,Alpine,9.0,9.0,0 days 00:01:37.530795918,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,PER,Red Bull Racing,1.0,1.0,0 days 00:01:34.245020833,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,ALO,Aston Martin,2.0,3.0,0 days 00:01:34.835875,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,LEC,Ferrari,12.0,7.0,0 days 00:01:37.243000,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,STR,Aston Martin,5.0,20.0,0 days 00:01:37.324000,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,SAR,Williams,20.0,16.0,0 days 00:01:39.223740,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,MAG,Haas F1 Team,13.0,10.0,0 days 00:01:38.794400,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,DEV,AlphaTauri,18.0,14.0,0 days 00:01:39.047440,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,TSU,AlphaTauri,16.0,11.0,0 days 00:01:37.754836734,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,ALB,Williams,17.0,19.0,0 days 00:01:40.944320,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,11.0,13.0,0 days 00:01:39.019080,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,HUL,Haas F1 Team,10.0,12.0,0 days 00:01:38.909640,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,OCO,Alpine,6.0,8.0,0 days 00:01:37.465346938,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,NOR,McLaren,19.0,17.0,0 days 00:01:39.226780,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,HAM,Mercedes,7.0,5.0,0 days 00:01:35.643625,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,SAI,Ferrari,4.0,6.0,0 days 00:01:37.046387755,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,RUS,Mercedes,3.0,4.0,0 days 00:01:35.160354166,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,BOT,Alfa Romeo,14.0,18.0,0 days 00:01:39.027666666,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Saudi Arabian Grand Prix,PIA,McLaren,8.0,15.0,0 days 00:01:39.198300,26.09189189189189,31.79256756756757,57.79054054054054,False,0,,,
2023,Australian Grand Prix,VER,Red Bull Racing,1.0,1.0,0 days 00:01:25.469384615,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,GAS,Alpine,9.0,13.0,0 days 00:01:26.081750,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,PER,Red Bull Racing,20.0,5.0,0 days 00:01:26.380346153,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,ALO,Aston Martin,4.0,3.0,0 days 00:01:25.773730769,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,LEC,Ferrari,7.0,20.0,,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,STR,Aston Martin,6.0,4.0,0 days 00:01:26.121269230,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,SAR,Williams,18.0,16.0,0 days 00:01:28.215843137,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,MAG,Haas F1 Team,14.0,17.0,0 days 00:01:27.232920,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,DEV,AlphaTauri,15.0,15.0,0 days 00:01:28.390607843,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,TSU,AlphaTauri,12.0,10.0,0 days 00:01:27.798346153,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,ALB,Williams,8.0,19.0,0 days 00:01:42.973500,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,ZHO,Alfa Romeo,17.0,9.0,0 days 00:01:27.850134615,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,HUL,Haas F1 Team,10.0,7.0,0 days 00:01:26.529365384,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,OCO,Alpine,11.0,14.0,0 days 00:01:26.749153846,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,NOR,McLaren,13.0,6.0,0 days 00:01:26.561673076,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,HAM,Mercedes,3.0,2.0,0 days 00:01:27.488886792,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,SAI,Ferrari,5.0,12.0,0 days 00:01:26.093807692,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,RUS,Mercedes,2.0,18.0,0 days 00:01:33.610800,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,BOT,Alfa Romeo,19.0,11.0,0 days 00:01:27.864843137,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Australian Grand Prix,PIA,McLaren,16.0,8.0,0 days 00:01:27.279307692,17.449549549549552,30.13963963963964,54.15765765765766,False,0,,,
2023,Azerbaijan Grand Prix,VER,Red Bull Racing,2.0,2.0,0 days 00:01:45.890395833,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,GAS,Alpine,17.0,14.0,0 days 00:01:50.858196078,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,PER,Red Bull Racing,3.0,1.0,0 days 00:01:46.544897959,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,ALO,Aston Martin,6.0,4.0,0 days 00:01:47.282448979,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,LEC,Ferrari,1.0,3.0,0 days 00:01:47.078571428,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,STR,Aston Martin,9.0,7.0,0 days 00:01:47.055187500,24.860625,41.209999999999994,49.225,False,0,,,
